Date,Chapter,Topics
2024-02-10,Sequence and Series,Full chapter Revision
2024-02-12,PnC,Full chapter Revise
2024-02-13,Hydrocarbon,full chapter
2024-02-14,KTG and THDM,Full chapter Revision
2024-02-15,Hydrocarbon,Full chapter revision
2024-02-15,IUPAC,Full chapter revision except common naming
2024-02-16,Friction,Full chapter revise
2024-02-16,NLM,Full chapter revise
2024-02-17,Fluids,Full Chapter Revision
2024-02-17,Sequence and Series,Full chapter Revision
2024-02-18,WPE,Full chapter revision
2024-02-19,PnC,Full chapter Revise
2024-02-20,Hydrocarbon,full chapter
2024-02-21,KTG and THDM,Full chapter Revision
2024-02-22,Hydrocarbon,Full chapter revision
2024-02-22,IUPAC,Full chapter revision except common naming
2024-02-23,Friction,Full chapter revise
2024-02-23,NLM,Full chapter revise
2024-02-24,Mole Concept,Half chapter revision
2024-02-24,Fluids,Full Chapter Revision
2024-02-25,Thermodynamics,Full Chapter revise
2024-02-25,WPE,Full chapter revision
2024-02-27,Thermodynamics,full except spontaneity and gibbs free energy
2024-02-28,Chemical equilibrium,full
2024-03-02,Mole Concept,Half chapter revision
2024-03-02,Sequence and Series,Full chapter Revision
2024-03-03,Thermodynamics,Full Chapter revise
2024-03-04,PnC,Full chapter Revise
2024-03-02,Thermodynamics,full except spontaneity and gibbs free energy
2024-03-02,Hydrocarbon,full chapter
2024-03-06,Chemical equilibrium,full
2024-03-06,KTG and THDM,Full chapter Revision
2024-03-07,Hydrocarbon,Full chapter revision
2024-03-07,IUPAC,Full chapter revision except common naming
2024-03-08,Friction,Full chapter revise
2024-03-08,NLM,Full chapter revise
2024-03-09,Fluids,Full Chapter Revision
2024-03-10,WPE,Full chapter revision
2024-03-16,Mole Concept,Half chapter revision
2024-03-17,Thermodynamics,Full Chapter revise
2024-03-19,Thermodynamics,full except spontaneity and gibbs free energy
2024-03-20,Chemical equilibrium,full
2024-03-30,Sequence and Series,Full chapter Revision
2024-04-01,PnC,Full chapter Revise
2024-04-02,Hydrocarbon,full chapter
2024-04-03,KTG and THDM,Full chapter Revision
2024-04-04,Hydrocarbon,Full chapter revision
2024-04-04,IUPAC,Full chapter revision except common naming
2024-04-05,Friction,Full chapter revise
2024-04-05,NLM,Full chapter revise
2024-04-06,Fluids,Full Chapter Revision
2024-04-07,WPE,Full chapter revision
2024-04-13,Mole Concept,Half chapter revision
2024-04-14,Thermodynamics,Full Chapter revise
2024-04-16,Thermodynamics,full except spontaneity and gibbs free energy
2024-04-17,Chemical equilibrium,full
2024-04-29,Sequence and Series,Full chapter Revision
2024-05-01,PnC,Full chapter Revise
2024-05-03,KTG and THDM,Full chapter Revision
2024-05-13,Mole Concept,Half chapter revision
2024-05-17,Chemical equilibrium,full
2024-05-22,Hydrocarbon,full chapter
2024-05-24,Hydrocarbon,Full chapter revision
2024-05-24,IUPAC,Full chapter revision except common naming
2024-05-25,Friction,Full chapter revise
2024-05-25,NLM,Full chapter revise
2024-05-26,Fluids,Full Chapter Revision
2024-05-27,WPE,Full chapter revision
2024-05-29,Sequence and Series,Full chapter Revision
2024-05-31,PnC,Full chapter Revise
2024-06-02,KTG and THDM,Full chapter Revision
2024-06-03,Thermodynamics,Full Chapter revise
2024-06-05,Thermodynamics,full except spontaneity and gibbs free energy
2024-06-12,Mole Concept,Half chapter revision
2024-06-16,Chemical equilibrium,full
2024-07-11,Hydrocarbon,full chapter
2024-07-13,Hydrocarbon,Full chapter revision
2024-07-13,IUPAC,Full chapter revision except common naming
2024-07-14,Friction,Full chapter revise
2024-07-14,NLM,Full chapter revise
2024-07-15,Fluids,Full Chapter Revision
2024-07-16,WPE,Full chapter revision
2024-07-23,Thermodynamics,Full Chapter revise
2024-07-25,Thermodynamics,full except spontaneity and gibbs free energy
2024-07-28,Sequence and Series,Full chapter Revision
2024-07-30,PnC,Full chapter Revise
2024-08-01,KTG and THDM,Full chapter Revision
2024-08-11,Mole Concept,Half chapter revision
2024-08-15,Chemical equilibrium,full
2024-08-30,Hydrocarbon,full chapter
2024-09-01,Hydrocarbon,Full chapter revision
2024-09-01,IUPAC,Full chapter revision except common naming
2024-09-02,Friction,Full chapter revise
2024-09-02,NLM,Full chapter revise
2024-09-03,Fluids,Full Chapter Revision
2024-09-04,WPE,Full chapter revision
2024-09-11,Thermodynamics,Full Chapter revise
2024-09-13,Thermodynamics,full except spontaneity and gibbs free energy
2024-09-26,Sequence and Series,Full chapter Revision
2024-09-28,PnC,Full chapter Revise
2024-09-30,KTG and THDM,Full chapter Revision
2024-10-10,Mole Concept,Half chapter revision
2024-10-14,Chemical equilibrium,full
2024-10-19,Hydrocarbon,full chapter
2024-10-21,Hydrocarbon,Full chapter revision
2024-10-21,IUPAC,Full chapter revision except common naming
2024-10-22,Friction,Full chapter revise
2024-10-22,NLM,Full chapter revise
2024-10-23,Fluids,Full Chapter Revision
2024-10-24,WPE,Full chapter revision
2024-10-31,Thermodynamics,Full Chapter revise
2024-11-02,Thermodynamics,full except spontaneity and gibbs free energy
2024-11-25,Sequence and Series,Full chapter Revision
2024-11-27,PnC,Full chapter Revise
2024-11-29,KTG and THDM,Full chapter Revision
2024-12-08,Hydrocarbon,full chapter
2024-12-09,Mole Concept,Half chapter revision
2024-12-10,Hydrocarbon,Full chapter revision
2024-12-10,IUPAC,Full chapter revision except common naming
2024-12-11,Friction,Full chapter revise
2024-12-11,NLM,Full chapter revise
2024-12-12,Fluids,Full Chapter Revision
2024-12-13,Chemical equilibrium,full
2024-12-13,WPE,Full chapter revision
2024-12-20,Thermodynamics,Full Chapter revise
2024-12-22,Thermodynamics,full except spontaneity and gibbs free energy
2025-02-13,Sequence and Series,Full chapter Revision
2025-02-15,PnC,Full chapter Revise
2025-02-17,KTG and THDM,Full chapter Revision
2025-02-27,Mole Concept,Half chapter revision
2025-03-03,Chemical equilibrium,full
